ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,南京,浦和数据,4,False,1,False,200,150,数据分析工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,inn_p5jow7ox4ybz
f,上海,麦穗人工智能,5,False,1,False,400,280,机器学习开发实习,08-14,intern,https://sxsimg.xiaoyuanzhao.com/A5/80/A5FB767DBCE5B2A959C407F2406CB780.png,inn_4cuinbwdiqro
f,宁波,萌牙,5,False,1,False,200,150,电商部数据分析,08-14,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_zsgkrbrvt1j7
f,宁波,萌牙,5,False,1,False,200,150,数据分析管培生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/00/7A/0090D5AC76FF6ECF0D1A029944E4C87A.png,inn_xb8ptw6fsxa1
f,北京,最右,5,False,1,False,200,150,机器学习/数据挖掘/自然语言处理工程师实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/C1/9F/C13AE8C872F286AE8CD974E23D225F9F.png,inn_xzcxbxxg8twu
f,北京,博慧医数,5,False,1,False,194,100,数据分析师,08-14,intern,https://sxsimg.xiaoyuanzhao.com/8A/4D/8A895F3FDD2064538A889F79F286364D.jpg,inn_bi26d8n2qzer
f,北京,九坤投资,4,False,1,False,300,250,数据开发实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/2D/B0/2DD6360A90680C24A415B1CD03C87AB0.jpg,inn_1prgxlxep6h3
f,北京,慧安金科,5,False,1,False,400,200,大数据实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/55/76/5599D787ED9BD014ED8FD8919E627F76.png,inn_znescgnpthh6
f,北京,微创软件,5,False,1,False,150,100,数据审核,08-14,intern,https://sxsimg.xiaoyuanzhao.com/D5/49/D56876C02279590C99D2190C8AA7ED49.jpg,inn_gbqxelutkdsg
f,北京,百度,5,False,1,False,200,150,机器学习/数据挖掘/自然语言处理算法实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/0A/80/0A4DB3F4159F586B0E419CCFE6A34D80.png,inn_d9zfyyictunh
f,北京,蓦然认知/小蓦机器人,4,False,1,False,350,300,数据挖掘实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/BF/99/BF714F87C7B1AB7FB393C07A1360D899.png,inn_xjhiqw97x41v
f,成都,清华四川能源互联网研究院,3,False,1,False,150,100,数据挖掘实习生（能源传感研究所）,08-14,intern,https://sxsimg.xiaoyuanzhao.com/E7/F7/E7F356E4041A136D288E70D7DA4BECF7.jpg,inn_yxigrtjxivzm
f,上海,斑马,3,False,1,False,250,200,语音开发实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/B0/2A/B05E07EBE3F519764B30C84B452CAB2A.png,inn_osjd3wc5rfpd
f,杭州,网易游戏,4,False,1,False,200,150,数据产品（游戏开发）实习生-杭州,08-14,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/mWSIgB9Di2Ofe6A.jpg,inn_ev8szjvfsasg
f,杭州,同花顺,5,False,1,False,150,100,数据分析师,08-14,intern,https://sxsimg.xiaoyuanzhao.com/A3/50/A33B2E30E174F721C18420764DF11D50.png,inn_vdkfqe1trxas
f,武汉,良品铺子,5,False,1,False,150,100,数据实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/A4/23/A49FF53C0E26DDCD3A12220A31987A23.png,inn_sk387pqqwdkt
f,"上海,杭州,郑州,石家庄,成都",诺基亚华诺,5,False,1,False,200,150,通信数据挖掘/分析工程师,08-14,intern,https://sxsimg.xiaoyuanzhao.com/D1/89/D1786A80B66C924DC692A95FE25DBA89.png,inn_cjgxkdexgtwt
f,深圳,腾讯,5,False,1,False,201,200,数据挖掘机器学习算法工程师（20届）,08-14,intern,https://sxsimg.xiaoyuanzhao.com/77/56/774790A6E764F9F3E1D1816966490F56.png,inn_btgg1xncafqz
f,深圳,腾讯,5,False,1,False,201,200,数据挖掘机器学习算法工程师（19届）,08-14,intern,https://sxsimg.xiaoyuanzhao.com/77/56/774790A6E764F9F3E1D1816966490F56.png,inn_ybmp6yecb0ar
f,杭州,滴滴出行,5,False,1,False,200,150,HM 杭州 运营实习生（数据分析方向）,08-14,intern,https://sxsimg.xiaoyuanzhao.com/3E/AF/3E4255D3B3EA03C6AD8781596746E0AF.jpg,inn_ilqsudpjeqjs
f,杭州,Eigen,5,False,1,False,300,200,算法实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/4B/A8/4BFE3EA584B85AE250A61226FDBBF9A8.png,inn_aj5cwnuv7wak
f,广州,点动信息,5,False,1,False,200,150,内部质量室管理(移),08-14,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_jw9v2v1brhyv
f,广州,点动信息,5,False,1,False,200,150,数据处理及工具开发（移）,08-14,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_eii3kzpq2cr7
f,上海,安永,4,False,1,False,300,150,爬虫工程师实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/94/85/94BBAEE244C40F09A13F05A7D2A31F85.jpg,inn_pmgqy3cvrrwp
f,北京,美兰德,4,False,1,False,150,100,数据挖掘实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/BF/9E/BF979F917B37FCB7D8F624CE007D459E.png,inn_4rhcdj2xhxwh
f,北京,申请方,3,False,1,False,120,100,数据建模实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-43/eRmTOiQFMlf7HUN.jpg,inn_ici8escmai2m
f,上海,资证魔方,3,False,1,False,151,150,资产证券化量化业务实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/1D/E9/1DB4709F97BB68658A7DB9E3ABF94DE9.png,inn_uflu9e9eey8f
f,上海,资证魔方,3,False,1,False,151,150,资产证券化量化业务实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/1D/E9/1DB4709F97BB68658A7DB9E3ABF94DE9.png,inn_mrx76tz4uym4
f,上海,复星集团,4,False,1,False,150,100,数据采集梳理实习生,08-14,intern,https://sxsimg.xiaoyuanzhao.com/30/74/305DEA279158C071459CEF324E133B74.jpg,inn_zydc79dyl6ss
f,长沙,Sandalwood Advisors,5,False,1,False,200,150,爬虫工程师,08-14,intern,https://sxsimg.xiaoyuanzhao.com/04/2F/04E08D158423F8A964EB485C77365F2F.png,inn_nt56ic1xicdq
f,北京,中科院软件所,4,False,1,False,200,120,安全工程师,08-13,intern,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,inn_4amfwd1dkfza
f,北京,云粒智慧科技,5,False,1,False,2,1,算法研发-数据挖掘,08-13,intern,https://sxsimg.xiaoyuanzhao.com/3D/DF/3D376BF1F4FF58D78FF2C47AF345D7DF.png,inn_mcqubj38syik
f,北京,知道创宇,5,False,1,False,100,93,渗透测试实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/11/DB/118EB5C442ACB289F6258B4A62C3BCDB.png,inn_yd3fdnqnfrkv
f,北京,罗辑思维 得到,5,False,1,False,300,200,数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/40/C0/40472E5B9D1C886634BAAC92913E8DC0.png,inn_sj3cez8plun7
