ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,北京,吉威时代,5,False,1,False,150,100,JAVA开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D9/AF/D973DEAB5DF9689CCDB23FAC9BB0D0AF.png,inn_ipqof9xnzr4z
f,北京,半米孕期专家,4,False,1,False,200,150,Java研发实习,08-15,intern,https://sxsimg.xiaoyuanzhao.com/95/6C/95C9B09B3D12B4722C711B0E4C4DA16C.png,inn_ghygpidpqzjg
f,广州,道一信息,3,False,1,False,180,120,Java开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/7D/9A/7DBFE9BFEAFF3181D3B9AA81E0707D9A.png,inn_xfmcddvkhnn6
f,汕头,道一信息,5,False,1,False,160,100,java实习生-汕头（2019届）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/7D/9A/7DBFE9BFEAFF3181D3B9AA81E0707D9A.png,inn_0vzmj2aqleol
f,广州,道一信息,5,False,1,False,110,90,JAVA实习生（2019届）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/7D/9A/7DBFE9BFEAFF3181D3B9AA81E0707D9A.png,inn_wd6o5h3mzx2p
f,广州,有车以后,5,False,1,False,120,100,java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/35/3E/35601D5DD6238DC8B7F099BCB71B593E.png,inn_cq0wemczjswq
f,上海,爱乐奇,4,False,0,False,200,150,软件开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/E9/1B/E9D33333F37D35F4FE0429CE41FDC51B.png,inn_aqldmvegq9ui
f,北京,猿辅导,4,False,1,False,50,40,后端开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/49/18/490BE2DB87B0FDA22BBD2F8951310B18.png,inn_xujn8vedahq5
f,上海,小红书,5,False,1,False,300,250,后端开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/9D/A9/9D3E7A5C2DFCFEE2F4993A38804067A9.jpg,inn_x5nrjnpceluo
f,成都,易申源,5,False,1,False,150,100,java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/84/FAA011848C17A67C3880E80AD2333A84.png,inn_3to9yn5inylw
f,北京,卓望信息,3,False,1,False,150,100,Java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/AD/F3/AD7322E7E256680715B6501D42008AF3.png,inn_wjikrm90tn8o
f,北京,陌陌科技,5,False,1,False,300,250,(校招)Java开发工程师(基础平台方向),08-15,intern,https://sxsimg.xiaoyuanzhao.com/02/14/02538948FD4E1DF650307A2153E9CA14.png,inn_vl0st7pjveei
f,北京,北京鼎竑,5,False,1,False,160,140,开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/6C/DE/6CBC238FE2B1A6407CC066D50F71E9DE.png,inn_kkqvjtveaqh1
f,海口,东软,4,False,1,False,100,50,java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_hcjuenfd8ko6
f,云浮,东软,5,False,1,False,150,100,政府软件开发实习生-云浮,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_tymxbn0t5mlg
f,清远,东软,4,False,1,False,150,100,政府软件实施实习生-清远,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_nfyz0wf9powg
f,珠海,东软,4,False,1,False,150,100,政府软件实施实习生-珠海,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_1i2vqibl1wc2
f,河源,东软,4,False,1,False,150,100,政府软件开发实习生-河源,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_u9kztzhr2frs
f,佛山,东软,4,False,1,False,150,100,政府软件开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_3b9i9r8qdwsn
f,广州,东软,5,False,1,False,150,100,政府软件开发实习生-广州,08-15,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-22/32ISB8CO6N0Zbl5.jpg,inn_4io6cm30o4ci
f,上海,盘古餐饮,4,False,1,False,2,1,IT实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/A3/1D/A33CF4A2BF2D4527AEB3AEF1D492E41D.jpg,inn_sbsmpcclf7qv
f,贵阳,用友金融,5,False,1,False,150,97,java开发实习生（贵阳）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D8/CF/D8E6B929CD79D9B482EFC30D4C571ACF.png,inn_ruprusxtrr2k
f,上海,Marketin 弋关科技,5,False,1,False,200,150,Java实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/CF/83/CF93FC13BA70F69576270ED80D19BB83.jpg,inn_vex6kcgbqfx7
f,杭州,信产爱WiFi运营中心,5,False,1,False,150,100,java实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/F7/DA/F74CD49C1E34A1BC73C6E065A7EF29DA.png,inn_ce9ua5enbiqi
f,深圳,威富通科技,5,False,1,False,170,150,Java工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/03/99/032204CA905B66958E1E076577DFD599.png,inn_auczqrypf73f
f,北京,字节跳动,5,False,1,False,400,300,服务器开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,inn_7bvqmqftwief
f,北京,洋钱罐,4,False,1,False,200,150,Java工程师实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/50/2A/50465AF48229F40098F76CA5D99A7A2A.png,inn_y4byjinp2hhp
f,北京,陌陌科技,5,False,1,False,300,250,(校招)Java开发工程师（商业化）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/02/14/02538948FD4E1DF650307A2153E9CA14.png,inn_hgohrunfedhx
f,广州,比邻名医,4,False,1,False,200,150,JAVA后端研发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/DF/9B/DF8A362AE1A1EE0463DBE5FF4B3F469B.png,inn_goxnzlslqb5x
f,常州,用友金融,4,False,1,False,150,100,Java开发实习生（常州）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_gbjq9rptv9bg
f,武汉,Coshine,5,False,1,False,250,200,Java开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/1E/B0/1EA3EFD052A3628A6013F260E14584B0.jpg,inn_bryvlnghtfzb
f,上海,Coshine,5,False,1,False,300,250,Java开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/1E/B0/1EA3EFD052A3628A6013F260E14584B0.jpg,inn_vycd5azgnsox
f,上海,大专家,3,False,1,False,200,150,JAVA开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/DC/56/DC7A2553CC4DD1BFBCAC7532CD93DF56.png,inn_82dfzxtu4ip2
f,上海,用友金融,4,False,1,False,150,91,Java开发实习生（上海）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_xgkiarq6v8pk
f,北京,TokenInsight,4,False,1,False,150,100,后端研发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/18/17/181058E149ED5FB70A4B46C98414A917.png,inn_hultl9fcs7s7
f,厦门,用友金融,4,False,1,False,150,100,Java开发实习生（厦门）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_w6weuprbaupn
f,重庆,用友金融,4,False,1,False,150,100,Java开发实习生（重庆）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_un0ymhekb8wq
f,北京,用友金融,4,False,1,False,150,100,Java开发实习生（北京）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_fykeh1wpk1yi
f,南京,用友金融,4,False,1,False,150,100,Java开发实习生（南京）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_xfscpjhqint9
f,苏州,用友金融,4,False,1,False,150,100,Java开发实习生（苏州）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_exrbbenahhs0
f,芜湖,用友金融,4,False,1,False,150,100,Java开发实习生（芜湖）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_inyaztroqlvz
f,武汉,用友金融,4,False,1,False,150,100,Java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_f1rucnjp6jp9
f,深圳,用友金融,4,False,1,False,150,100,Java开发实习生（深圳）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/15/44/15D1B894BC5836CAC09412F35465D244.jpg,inn_bevbqqxthvw3
f,上海,网鱼网咖,4,False,1,False,200,150,Java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/64/6A/64289BBD60906528B0A3408323AEEB6A.png,inn_yfyftzwvddq0
f,上海,长江众创,4,False,1,False,200,100,助理软件工程师（JAVA）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/46/29/4620514FBC1ED3975DE632C50402D829.png,inn_mlcoawzpe1a5
f,成都,微鑫通,5,False,1,False,200,100,java开发工程师（2019届）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/0A/6D/0A9970020D77B5737A01C07B6B16596D.png,inn_1mqneazvzoal
f,上海,众安保险,3,False,1,False,200,150,Java开发实习生（人工智能方向）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/5C/74/5C081F7F567375259C530407908F0374.png,inn_qcoik5dgnzz6
f,北京,众安保险,3,False,1,False,200,150,Java开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/5C/74/5C081F7F567375259C530407908F0374.png,inn_5ukeqle5y3mt
